NAME,2000 POP.,1990 POP.
KOKOMO IN MSA,101541,96946
LA CROSSE WI--MN MSA,126838,116401
LAFAYETTE LA MSA,385647,344953
LAFAYETTE IN MSA,182821,161572
LAKE CHARLES LA MSA,183577,168134
LAKELAND--WINTER HAVEN FL MSA,483924,405382
LANCASTER PA MSA,470658,422822
LANSING--EAST LANSING MI MSA,447728,432674
LAREDO TX MSA,193117,133239
LAS CRUCES NM MSA,174682,135510
LAS VEGAS NV--AZ MSA,1563282,852737
LAWRENCE KS MSA,99962,81798
LAWTON OK MSA,114996,111486
LEWISTON--AUBURN ME MSA,90830,93679
LEXINGTON KY MSA,479198,405936
LIMA OH MSA,155084,154340
LINCOLN NE MSA,250291,213641
LITTLE ROCK--NORTH LITTLE ROCK AR MSA,583845,513117
LONGVIEW--MARSHALL TX MSA,208780,193801
LOS ANGELES--RIVERSIDE--ORANGE COUNTY CA CMSA,16373645,14531529
LOUISVILLE KY--IN MSA,1025598,948829
LUBBOCK TX MSA,242628,222636
LYNCHBURG VA MSA,214911,193928
MACON GA MSA,322549,290909
MADISON WI MSA,426526,367085
MANSFIELD OH MSA,175818,174007
MAYAGUEZ PR MSA,253347,237143
MCALLEN--EDINBURG--MISSION TX MSA,569463,383545
MEDFORD--ASHLAND OR MSA,181269,146389
MELBOURNE--TITUSVILLE--PALM BAY FL MSA,476230,398978
MEMPHIS TN--AR--MS MSA,1135614,1007306
MERCED CA MSA,210554,178403
MIAMI--FORT LAUDERDALE FL CMSA,3876380,3192582
MILWAUKEE--RACINE WI CMSA,1689572,1607183
MINNEAPOLIS--ST. PAUL MN--WI MSA,2968806,2538834
MISSOULA MT MSA,95802,78687
MOBILE AL MSA,540258,476923
MODESTO CA MSA,446997,370522
MONROE LA MSA,147250,142191
MONTGOMERY AL MSA,333055,292517
MUNCIE IN MSA,118769,119659
MYRTLE BEACH SC MSA,196629,144053
NAPLES FL MSA,251377,152099
NASHVILLE TN MSA,1231311,985026
NEW LONDON--NORWICH CT--RI MSA,293566,290734
NEW ORLEANS LA MSA,1337726,1285270
NEW YORK--NORTHERN NEW JERSEY--LONG ISLAND NY--NJ--CT--PA CMSA,21199865,19549649
NORFOLK--VIRGINIA BEACH--NEWPORT NEWS VA--NC MSA,1569541,1443244
OCALA FL MSA,258916,194833
ODESSA--MIDLAND TX MSA,237132,225545
OKLAHOMA CITY OK MSA,1083346,958839
OMAHA NE--IA MSA,716998,639580
ORLANDO FL MSA,1644561,1224852
OWENSBORO KY MSA,91545,87189
PANAMA CITY FL MSA,148217,126994
PARKERSBURG--MARIETTA WV--OH MSA,151237,149169
PENSACOLA FL MSA,412153,344406
PEORIA--PEKIN IL MSA,347387,339172
PHILADELPHIA--WILMINGTON--ATLANTIC CITY PA--NJ--DE--MD CMSA,6188463,5892937
PHOENIX--MESA AZ MSA,3251876,2238480
PINE BLUFF AR MSA,84278,85487
PITTSBURGH PA MSA,2358695,2394811
PITTSFIELD MA MSA,84699,88695
POCATELLO ID MSA,75565,66026
PONCE PR MSA,361094,342660
PORTLAND ME MSA,243537,221095
PORTLAND--SALEM OR--WA CMSA,2265223,1793476
PROVIDENCE--FALL RIVER--WARWICK RI--MA MSA,1188613,1134350
PROVO--OREM UT MSA,368536,263590
PUEBLO CO MSA,141472,123051
PUNTA GORDA FL MSA,141627,110975
RALEIGH--DURHAM--CHAPEL HILL NC MSA,1187941,855545
RAPID CITY SD MSA,88565,81343
READING PA MSA,373638,336523
REDDING CA MSA,163256,147036
RENO NV MSA,339486,254667
RICHLAND--KENNEWICK--PASCO WA MSA,191822,150033
RICHMOND--PETERSBURG VA MSA,996512,865640
ROANOKE VA MSA,235932,224477
ROCHESTER MN MSA,124277,106470
ROCHESTER NY MSA,1098201,1062470
ROCKFORD IL MSA,371236,329676
ROCKY MOUNT NC MSA,143026,133235
SACRAMENTO--YOLO CA CMSA,1796857,1481102
SAGINAW--BAY CITY--MIDLAND MI MSA,403070,399320
ST. CLOUD MN MSA,167392,148976
ST. JOSEPH MO MSA,102490,97715
ST. LOUIS MO--IL MSA,2603607,2492525
SALINAS CA MSA,401762,355660
SALT LAKE CITY--OGDEN UT MSA,1333914,1072227
SAN ANGELO TX MSA,104010,98458
SAN ANTONIO TX MSA,1592383,1324749
SAN DIEGO CA MSA,2813833,2498016
SAN FRANCISCO--OAKLAND--SAN JOSE CA CMSA,7039362,6253311
SAN JUAN--CAGUAS--ARECIBO PR CMSA,2450292,2270808
SAN LUIS OBISPO--ATASCADERO--PASO ROBLES CA MSA,246681,217162
SANTA BARBARA--SANTA MARIA--LOMPOC CA MSA,399347,369608
SANTA FE NM MSA,147635,117043
SARASOTA--BRADENTON FL MSA,589959,489483
SAVANNAH GA MSA,293000,258060
SCRANTON--WILKES-BARRE--HAZLETON PA MSA,624776,638466
SEATTLE--TACOMA--BREMERTON WA CMSA,3554760,2970328
SHARON PA MSA,120293,121003
SHEBOYGAN WI MSA,112646,103877
SHERMAN--DENISON TX MSA,110595,95021
SHREVEPORT--BOSSIER CITY LA MSA,392302,376330
SIOUX CITY IA--NE MSA,124130,115018
SIOUX FALLS SD MSA,172412,139236
SOUTH BEND IN MSA,265559,247052
SPOKANE WA MSA,417939,361364
SPRINGFIELD IL MSA,201437,189550
SPRINGFIELD MO MSA,325721,264346
SPRINGFIELD MA MSA,591932,587884
STATE COLLEGE PA MSA,135758,123786
STEUBENVILLE--WEIRTON OH--WV MSA,132008,142523
STOCKTON--LODI CA MSA,563598,480628
SUMTER SC MSA,104646,102637
SYRACUSE NY MSA,732117,742177
TALLAHASSEE FL MSA,284539,233598
TAMPA--ST. PETERSBURG--CLEARWATER FL MSA,2395997,2067959
TERRE HAUTE IN MSA,149192,147585
TEXARKANA TX--TEXARKANA AR MSA,129749,120132
TOLEDO OH MSA,618203,614128
TOPEKA KS MSA,169871,160976
TUCSON AZ MSA,843746,666880
TULSA OK MSA,803235,708954
TUSCALOOSA AL MSA,164875,150522
TYLER TX MSA,174706,151309
UTICA--ROME NY MSA,299896,316633
VICTORIA TX MSA,84088,74361
VISALIA--TULARE--PORTERVILLE CA MSA,368021,311921
WACO TX MSA,213517,189123
WASHINGTON--BALTIMORE DC--MD--VA--WV CMSA,7608070,6727050
WATERLOO--CEDAR FALLS IA MSA,128012,123798
WAUSAU WI MSA,125834,115400
WEST PALM BEACH--BOCA RATON FL MSA,1131184,863518
WHEELING WV--OH MSA,153172,159301
WICHITA KS MSA,545220,485270
WICHITA FALLS TX MSA,140518,130351
WILLIAMSPORT PA MSA,120044,118710
WILMINGTON NC MSA,233450,171269
YAKIMA WA MSA,222581,188823
YORK PA MSA,381751,339574
YOUNGSTOWN--WARREN OH MSA,594746,600895
YUBA CITY CA MSA,139149,122643
YUMA AZ MSA,160026,106895
