NAME,STATE,2000 POP.,1990 POP.
PERRY COUNTY,IL,23094,21412
PIATT COUNTY,IL,16365,15548
PIKE COUNTY,IL,17384,17577
POPE COUNTY,IL,4413,4373
PULASKI COUNTY,IL,7348,7523
PUTNAM COUNTY,IL,6086,5730
RANDOLPH COUNTY,IL,33893,34583
RICHLAND COUNTY,IL,16149,16545
ROCK ISLAND COUNTY,IL,149374,148723
ST. CLAIR COUNTY,IL,256082,262852
SALINE COUNTY,IL,26733,26551
SANGAMON COUNTY,IL,188951,178386
SCHUYLER COUNTY,IL,7189,7498
SCOTT COUNTY,IL,5537,5644
SHELBY COUNTY,IL,22893,22261
STARK COUNTY,IL,6332,6534
STEPHENSON COUNTY,IL,48979,48052
TAZEWELL COUNTY,IL,128485,123692
UNION COUNTY,IL,18293,17619
VERMILION COUNTY,IL,83919,88257
WABASH COUNTY,IL,12937,13111
WARREN COUNTY,IL,18735,19181
WASHINGTON COUNTY,IL,15148,14965
WAYNE COUNTY,IL,17151,17241
WHITE COUNTY,IL,15371,16522
WHITESIDE COUNTY,IL,60653,60186
WILL COUNTY,IL,502266,357313
WILLIAMSON COUNTY,IL,61296,57733
WINNEBAGO COUNTY,IL,278418,252913
WOODFORD COUNTY,IL,35469,32653
ADAMS COUNTY,IN,33625,31095
ALLEN COUNTY,IN,331849,300836
BARTHOLOMEW COUNTY,IN,71435,63657
BENTON COUNTY,IN,9421,9441
BLACKFORD COUNTY,IN,14048,14067
BOONE COUNTY,IN,46107,38147
BROWN COUNTY,IN,14957,14080
CARROLL COUNTY,IN,20165,18809
CASS COUNTY,IN,40930,38413
CLARK COUNTY,IN,96472,87777
CLAY COUNTY,IN,26556,24705
CLINTON COUNTY,IN,33866,30974
CRAWFORD COUNTY,IN,10743,9914
DAVIESS COUNTY,IN,29820,27533
DEARBORN COUNTY,IN,46109,38835
DECATUR COUNTY,IN,24555,23645
DE KALB COUNTY,IN,40285,35324
DELAWARE COUNTY,IN,118769,119659
DUBOIS COUNTY,IN,39674,36616
ELKHART COUNTY,IN,182791,156198
FAYETTE COUNTY,IN,25588,26015
FLOYD COUNTY,IN,70823,64404
FOUNTAIN COUNTY,IN,17954,17808
FRANKLIN COUNTY,IN,22151,19580
FULTON COUNTY,IN,20511,18840
GIBSON COUNTY,IN,32500,31913
GRANT COUNTY,IN,73403,74169
GREENE COUNTY,IN,33157,30410
HAMILTON COUNTY,IN,182740,108936
HANCOCK COUNTY,IN,55391,45527
HARRISON COUNTY,IN,34325,29890
HENDRICKS COUNTY,IN,104093,75717
HENRY COUNTY,IN,48508,48139
HOWARD COUNTY,IN,84964,80827
HUNTINGTON COUNTY,IN,38075,35427
JACKSON COUNTY,IN,41335,37730
JASPER COUNTY,IN,30043,24960
JAY COUNTY,IN,21806,21512
JEFFERSON COUNTY,IN,31705,29797
JENNINGS COUNTY,IN,27554,23661
JOHNSON COUNTY,IN,115209,88109
KNOX COUNTY,IN,39256,39884
KOSCIUSKO COUNTY,IN,74057,65294
LAGRANGE COUNTY,IN,34909,29477
LAKE COUNTY,IN,484564,475594
LA PORTE COUNTY,IN,110106,107066
LAWRENCE COUNTY,IN,45922,42836
MADISON COUNTY,IN,133358,130669
MARION COUNTY,IN,860454,797159
MARSHALL COUNTY,IN,45128,42182
MARTIN COUNTY,IN,10369,10369
MIAMI COUNTY,IN,36082,36897
MONROE COUNTY,IN,120563,108978
MONTGOMERY COUNTY,IN,37629,34436
MORGAN COUNTY,IN,66689,55920
NEWTON COUNTY,IN,14566,13551
NOBLE COUNTY,IN,46275,37877
OHIO COUNTY,IN,5623,5315
ORANGE COUNTY,IN,19306,18409
OWEN COUNTY,IN,21786,17281
PARKE COUNTY,IN,17241,15410
PERRY COUNTY,IN,18899,19107
PIKE COUNTY,IN,12837,12509
PORTER COUNTY,IN,146798,128932
POSEY COUNTY,IN,27061,25968
PULASKI COUNTY,IN,13755,12643
PUTNAM COUNTY,IN,36019,30315
RANDOLPH COUNTY,IN,27401,27148
RIPLEY COUNTY,IN,26523,24616
RUSH COUNTY,IN,18261,18129
ST. JOSEPH COUNTY,IN,265559,247052
SCOTT COUNTY,IN,22960,20991
SHELBY COUNTY,IN,43445,40307
SPENCER COUNTY,IN,20391,19490
STARKE COUNTY,IN,23556,22747
STEUBEN COUNTY,IN,33214,27446
SULLIVAN COUNTY,IN,21751,18993
SWITZERLAND COUNTY,IN,9065,7738
TIPPECANOE COUNTY,IN,148955,130598
TIPTON COUNTY,IN,16577,16119
UNION COUNTY,IN,7349,6976
VANDERBURGH COUNTY,IN,171922,165058
VERMILLION COUNTY,IN,16788,16773
VIGO COUNTY,IN,105848,106107
WABASH COUNTY,IN,34960,35069
WARREN COUNTY,IN,8419,8176
WARRICK COUNTY,IN,52383,44920
WASHINGTON COUNTY,IN,27223,23717
WAYNE COUNTY,IN,71097,71951
WELLS COUNTY,IN,27600,25948
WHITE COUNTY,IN,25267,23265
WHITLEY COUNTY,IN,30707,27651
ADAIR COUNTY,IA,8243,8409
ADAMS COUNTY,IA,4482,4866
ALLAMAKEE COUNTY,IA,14675,13855
APPANOOSE COUNTY,IA,13721,13743
AUDUBON COUNTY,IA,6830,7334
BENTON COUNTY,IA,25308,22429
BLACK HAWK COUNTY,IA,128012,123798
BOONE COUNTY,IA,26224,25186
BREMER COUNTY,IA,23325,22813
BUCHANAN COUNTY,IA,21093,20844
BUENA VISTA COUNTY,IA,20411,19965
BUTLER COUNTY,IA,15305,15731
CALHOUN COUNTY,IA,11115,11508
CARROLL COUNTY,IA,21421,21423
CASS COUNTY,IA,14684,15128
CEDAR COUNTY,IA,18187,17381
CERRO GORDO COUNTY,IA,46447,46733
CHEROKEE COUNTY,IA,13035,14098
CHICKASAW COUNTY,IA,13095,13295
CLARKE COUNTY,IA,9133,8287
CLAY COUNTY,IA,17372,17585
CLAYTON COUNTY,IA,18678,19054
CLINTON COUNTY,IA,50149,51040
CRAWFORD COUNTY,IA,16942,16775
DALLAS COUNTY,IA,40750,29755
DAVIS COUNTY,IA,8541,8312
DECATUR COUNTY,IA,8689,8338
DELAWARE COUNTY,IA,18404,18035
DES MOINES COUNTY,IA,42351,42614
DICKINSON COUNTY,IA,16424,14909
DUBUQUE COUNTY,IA,89143,86403
EMMET COUNTY,IA,11027,11569
FAYETTE COUNTY,IA,22008,21843
FLOYD COUNTY,IA,16900,17058
FRANKLIN COUNTY,IA,10704,11364
FREMONT COUNTY,IA,8010,8226
GREENE COUNTY,IA,10366,10045
GRUNDY COUNTY,IA,12369,12029
GUTHRIE COUNTY,IA,11353,10935
HAMILTON COUNTY,IA,16438,16071
HANCOCK COUNTY,IA,12100,12638
HARDIN COUNTY,IA,18812,19094
HARRISON COUNTY,IA,15666,14730
HENRY COUNTY,IA,20336,19226
HOWARD COUNTY,IA,9932,9809
HUMBOLDT COUNTY,IA,10381,10756
IDA COUNTY,IA,7837,8365
IOWA COUNTY,IA,15671,14630
JACKSON COUNTY,IA,20296,19950
JASPER COUNTY,IA,37213,34795
JEFFERSON COUNTY,IA,16181,16310
JOHNSON COUNTY,IA,111006,96119
JONES COUNTY,IA,20221,19444
KEOKUK COUNTY,IA,11400,11624
KOSSUTH COUNTY,IA,17163,18591
LEE COUNTY,IA,38052,38687
LINN COUNTY,IA,191701,168767
LOUISA COUNTY,IA,12183,11592
LUCAS COUNTY,IA,9422,9070
LYON COUNTY,IA,11763,11952
MADISON COUNTY,IA,14019,12483
MAHASKA COUNTY,IA,22335,21522
MARION COUNTY,IA,32052,30001
MARSHALL COUNTY,IA,39311,38276
MILLS COUNTY,IA,14547,13202
MITCHELL COUNTY,IA,10874,10928
MONONA COUNTY,IA,10020,10034
MONROE COUNTY,IA,8016,8114
MONTGOMERY COUNTY,IA,11771,12076
MUSCATINE COUNTY,IA,41722,39907
O'BRIEN COUNTY,IA,15102,15444
OSCEOLA COUNTY,IA,7003,7267
PAGE COUNTY,IA,16976,16870
PALO ALTO COUNTY,IA,10147,10669
PLYMOUTH COUNTY,IA,24849,23388
POCAHONTAS COUNTY,IA,8662,9525
POLK COUNTY,IA,374601,327140
POTTAWATTAMIE COUNTY,IA,87704,82628
POWESHIEK COUNTY,IA,18815,19033
RINGGOLD COUNTY,IA,5469,5420
SAC COUNTY,IA,11529,12324
SCOTT COUNTY,IA,158668,150979
SHELBY COUNTY,IA,13173,13230
SIOUX COUNTY,IA,31589,29903
STORY COUNTY,IA,79981,74252
TAMA COUNTY,IA,18103,17419
TAYLOR COUNTY,IA,6958,7114
UNION COUNTY,IA,12309,12750
VAN BUREN COUNTY,IA,7809,7676
WAPELLO COUNTY,IA,36051,35687
WARREN COUNTY,IA,40671,36033
WASHINGTON COUNTY,IA,20670,19612
WAYNE COUNTY,IA,6730,7067
WEBSTER COUNTY,IA,40235,40342
WINNEBAGO COUNTY,IA,11723,12122
WINNESHIEK COUNTY,IA,21310,20847
WOODBURY COUNTY,IA,103877,98276
WORTH COUNTY,IA,7909,7991
WRIGHT COUNTY,IA,14334,14269
ALLEN COUNTY,KS,14385,14638
ANDERSON COUNTY,KS,8110,7803
ATCHISON COUNTY,KS,16774,16932
BARBER COUNTY,KS,5307,5874
BARTON COUNTY,KS,28205,29382
BOURBON COUNTY,KS,15379,14966
BROWN COUNTY,KS,10724,11128
BUTLER COUNTY,KS,59482,50580
CHASE COUNTY,KS,3030,3021
CHAUTAUQUA COUNTY,KS,4359,4407
CHEROKEE COUNTY,KS,22605,21374
CHEYENNE COUNTY,KS,3165,3243
CLARK COUNTY,KS,2390,2418
CLAY COUNTY,KS,8822,9158
CLOUD COUNTY,KS,10268,11023
COFFEY COUNTY,KS,8865,8404
COMANCHE COUNTY,KS,1967,2313
COWLEY COUNTY,KS,36291,36915
CRAWFORD COUNTY,KS,38242,35568
DECATUR COUNTY,KS,3472,4021
DICKINSON COUNTY,KS,19344,18958
DONIPHAN COUNTY,KS,8249,8134
DOUGLAS COUNTY,KS,99962,81798
EDWARDS COUNTY,KS,3449,3787
ELK COUNTY,KS,3261,3327
ELLIS COUNTY,KS,27507,26004
ELLSWORTH COUNTY,KS,6525,6586
FINNEY COUNTY,KS,40523,33070
FORD COUNTY,KS,32458,27463
FRANKLIN COUNTY,KS,24784,21994
GEARY COUNTY,KS,27947,30453
GOVE COUNTY,KS,3068,3231
GRAHAM COUNTY,KS,2946,3543
GRANT COUNTY,KS,7909,7159
GRAY COUNTY,KS,5904,5396
GREELEY COUNTY,KS,1534,1774
GREENWOOD COUNTY,KS,7673,7847
HAMILTON COUNTY,KS,2670,2388
HARPER COUNTY,KS,6536,7124
HARVEY COUNTY,KS,32869,31028
HASKELL COUNTY,KS,4307,3886
HODGEMAN COUNTY,KS,2085,2177
JACKSON COUNTY,KS,12657,11525
JEFFERSON COUNTY,KS,18426,15905
JEWELL COUNTY,KS,3791,4251
JOHNSON COUNTY,KS,451086,355054
KEARNY COUNTY,KS,4531,4027
KINGMAN COUNTY,KS,8673,8292
KIOWA COUNTY,KS,3278,3660
LABETTE COUNTY,KS,22835,23693
LANE COUNTY,KS,2155,2375
LEAVENWORTH COUNTY,KS,68691,64371
LINCOLN COUNTY,KS,3578,3653
LINN COUNTY,KS,9570,8254
LOGAN COUNTY,KS,3046,3081
LYON COUNTY,KS,35935,34732
MCPHERSON COUNTY,KS,29554,27268
MARION COUNTY,KS,13361,12888
MARSHALL COUNTY,KS,10965,11705
MEADE COUNTY,KS,4631,4247
MIAMI COUNTY,KS,28351,23466
MITCHELL COUNTY,KS,6932,7203
MONTGOMERY COUNTY,KS,36252,38816
MORRIS COUNTY,KS,6104,6198
MORTON COUNTY,KS,3496,3480
NEMAHA COUNTY,KS,10717,10446
NEOSHO COUNTY,KS,16997,17035
NESS COUNTY,KS,3454,4033
NORTON COUNTY,KS,5953,5947
OSAGE COUNTY,KS,16712,15248
OSBORNE COUNTY,KS,4452,4867
OTTAWA COUNTY,KS,6163,5634
PAWNEE COUNTY,KS,7233,7555
PHILLIPS COUNTY,KS,6001,6590
POTTAWATOMIE COUNTY,KS,18209,16128
PRATT COUNTY,KS,9647,9702
RAWLINS COUNTY,KS,2966,3404
RENO COUNTY,KS,64790,62389
REPUBLIC COUNTY,KS,5835,6482
RICE COUNTY,KS,10761,10610
RILEY COUNTY,KS,62843,67139
ROOKS COUNTY,KS,5685,6039
RUSH COUNTY,KS,3551,3842
RUSSELL COUNTY,KS,7370,7835
SALINE COUNTY,KS,53597,49301
SCOTT COUNTY,KS,5120,5289
SEDGWICK COUNTY,KS,452869,403662
SEWARD COUNTY,KS,22510,18743
SHAWNEE COUNTY,KS,169871,160976
SHERIDAN COUNTY,KS,2813,3043
SHERMAN COUNTY,KS,6760,6926
SMITH COUNTY,KS,4536,5078
STAFFORD COUNTY,KS,4789,5365
STANTON COUNTY,KS,2406,2333
STEVENS COUNTY,KS,5463,5048
SUMNER COUNTY,KS,25946,25841
THOMAS COUNTY,KS,8180,8258
TREGO COUNTY,KS,3319,3694
WABAUNSEE COUNTY,KS,6885,6603
WALLACE COUNTY,KS,1749,1821
WASHINGTON COUNTY,KS,6483,7073
WICHITA COUNTY,KS,2531,2758
WILSON COUNTY,KS,10332,10289
WOODSON COUNTY,KS,3788,4116
WYANDOTTE COUNTY,KS,157882,161993
ADAIR COUNTY,KY,17244,15360
ALLEN COUNTY,KY,17800,14628
ANDERSON COUNTY,KY,19111,14571
BALLARD COUNTY,KY,8286,7902
BARREN COUNTY,KY,38033,34001
BATH COUNTY,KY,11085,9692
BELL COUNTY,KY,30060,31506
BOONE COUNTY,KY,85991,57589
BOURBON COUNTY,KY,19360,19236
BOYD COUNTY,KY,49752,51150
BOYLE COUNTY,KY,27697,25641
BRACKEN COUNTY,KY,8279,7766
BREATHITT COUNTY,KY,16100,15703
BRECKINRIDGE COUNTY,KY,18648,16312
BULLITT COUNTY,KY,61236,47567
BUTLER COUNTY,KY,13010,11245
CALDWELL COUNTY,KY,13060,13232
CALLOWAY COUNTY,KY,34177,30735
CAMPBELL COUNTY,KY,88616,83866
CARLISLE COUNTY,KY,5351,5238
CARROLL COUNTY,KY,10155,9292
CARTER COUNTY,KY,26889,24340
CASEY COUNTY,KY,15447,14211
CHRISTIAN COUNTY,KY,72265,68941
CLARK COUNTY,KY,33144,29496
CLAY COUNTY,KY,24556,21746
CLINTON COUNTY,KY,9634,9135
CRITTENDEN COUNTY,KY,9384,9196
CUMBERLAND COUNTY,KY,7147,6784
DAVIESS COUNTY,KY,91545,87189
EDMONSON COUNTY,KY,11644,10357
ELLIOTT COUNTY,KY,6748,6455
ESTILL COUNTY,KY,15307,14614
FAYETTE COUNTY,KY,260512,225366
FLEMING COUNTY,KY,13792,12292
FLOYD COUNTY,KY,42441,43586
FRANKLIN COUNTY,KY,47687,43781
FULTON COUNTY,KY,7752,8271
GALLATIN COUNTY,KY,7870,5393
GARRARD COUNTY,KY,14792,11579
GRANT COUNTY,KY,22384,15737
GRAVES COUNTY,KY,37028,33550
GRAYSON COUNTY,KY,24053,21050
GREEN COUNTY,KY,11518,10371
GREENUP COUNTY,KY,36891,36742
HANCOCK COUNTY,KY,8392,7864
HARDIN COUNTY,KY,94174,89240
HARLAN COUNTY,KY,33202,36574
HARRISON COUNTY,KY,17983,16248
HART COUNTY,KY,17445,14890
HENDERSON COUNTY,KY,44829,43044
HENRY COUNTY,KY,15060,12823
HICKMAN COUNTY,KY,5262,5566
HOPKINS COUNTY,KY,46519,46126
JACKSON COUNTY,KY,13495,11955
JEFFERSON COUNTY,KY,693604,664937
JESSAMINE COUNTY,KY,39041,30508
JOHNSON COUNTY,KY,23445,23248
KENTON COUNTY,KY,151464,142031
KNOTT COUNTY,KY,17649,17906
KNOX COUNTY,KY,31795,29676
LARUE COUNTY,KY,13373,11679
LAUREL COUNTY,KY,52715,43438
LAWRENCE COUNTY,KY,15569,13998
LEE COUNTY,KY,7916,7422
LESLIE COUNTY,KY,12401,13642
LETCHER COUNTY,KY,25277,27000
LEWIS COUNTY,KY,14092,13029
LINCOLN COUNTY,KY,23361,20045
LIVINGSTON COUNTY,KY,9804,9062
LOGAN COUNTY,KY,26573,24416
LYON COUNTY,KY,8080,6624
MCCRACKEN COUNTY,KY,65514,62879
MCCREARY COUNTY,KY,17080,15603
MCLEAN COUNTY,KY,9938,9628
MADISON COUNTY,KY,70872,57508
MAGOFFIN COUNTY,KY,13332,13077
MARION COUNTY,KY,18212,16499
MARSHALL COUNTY,KY,30125,27205
MARTIN COUNTY,KY,12578,12526
MASON COUNTY,KY,16800,16666
MEADE COUNTY,KY,26349,24170
MENIFEE COUNTY,KY,6556,5092
MERCER COUNTY,KY,20817,19148
METCALFE COUNTY,KY,10037,8963
MONROE COUNTY,KY,11756,11401
MONTGOMERY COUNTY,KY,22554,19561
MORGAN COUNTY,KY,13948,11648
MUHLENBERG COUNTY,KY,31839,31318
NELSON COUNTY,KY,37477,29710
NICHOLAS COUNTY,KY,6813,6725
OHIO COUNTY,KY,22916,21105
OLDHAM COUNTY,KY,46178,33263
OWEN COUNTY,KY,10547,9035
OWSLEY COUNTY,KY,4858,5036
PENDLETON COUNTY,KY,14390,12036
PERRY COUNTY,KY,29390,30283
PIKE COUNTY,KY,68736,72583
POWELL COUNTY,KY,13237,11686
PULASKI COUNTY,KY,56217,49489
ROBERTSON COUNTY,KY,2266,2124
ROCKCASTLE COUNTY,KY,16582,14803
ROWAN COUNTY,KY,22094,20353
RUSSELL COUNTY,KY,16315,14716
SCOTT COUNTY,KY,33061,23867
SHELBY COUNTY,KY,33337,24824
SIMPSON COUNTY,KY,16405,15145
SPENCER COUNTY,KY,11766,6801
TAYLOR COUNTY,KY,22927,21146
TODD COUNTY,KY,11971,10940
TRIGG COUNTY,KY,12597,10361
TRIMBLE COUNTY,KY,8125,6090
UNION COUNTY,KY,15637,16557
WARREN COUNTY,KY,92522,76673
WASHINGTON COUNTY,KY,10916,10441
WAYNE COUNTY,KY,19923,17468
WEBSTER COUNTY,KY,14120,13955
WHITLEY COUNTY,KY,35865,33326
WOLFE COUNTY,KY,7065,6503
WOODFORD COUNTY,KY,23208,19955
ACADIA PARISH,LA,58861,55882
ALLEN PARISH,LA,25440,21226
ASCENSION PARISH,LA,76627,58214
ASSUMPTION PARISH,LA,23388,22753
AVOYELLES PARISH,LA,41481,39159
BEAUREGARD PARISH,LA,32986,30083
BIENVILLE PARISH,LA,15752,15979
BOSSIER PARISH,LA,98310,86088
CADDO PARISH,LA,252161,248253
CALCASIEU PARISH,LA,183577,168134
CALDWELL PARISH,LA,10560,9810
CAMERON PARISH,LA,9991,9260
CATAHOULA PARISH,LA,10920,11065
CLAIBORNE PARISH,LA,16851,17405
CONCORDIA PARISH,LA,20247,20828
DE SOTO PARISH,LA,25494,25346
EAST BATON ROUGE PARISH,LA,412852,380105
EAST CARROLL PARISH,LA,9421,9709
EAST FELICIANA PARISH,LA,21360,19211
EVANGELINE PARISH,LA,35434,33274
FRANKLIN PARISH,LA,21263,22387
GRANT PARISH,LA,18698,17526
IBERIA PARISH,LA,73266,68297
IBERVILLE PARISH,LA,33320,31049
JACKSON PARISH,LA,15397,15705
JEFFERSON PARISH,LA,455466,448306
JEFFERSON DAVIS PARISH,LA,31435,30722
LAFAYETTE PARISH,LA,190503,164762
LAFOURCHE PARISH,LA,89974,85860
LA SALLE PARISH,LA,14282,13662
LINCOLN PARISH,LA,42509,41745
LIVINGSTON PARISH,LA,91814,70526
MADISON PARISH,LA,13728,12463
MOREHOUSE PARISH,LA,31021,31938
NATCHITOCHES PARISH,LA,39080,36689
ORLEANS PARISH,LA,484674,496938
OUACHITA PARISH,LA,147250,142191
PLAQUEMINES PARISH,LA,26757,25575
POINTE COUPEE PARISH,LA,22763,22540
RAPIDES PARISH,LA,126337,131556
RED RIVER PARISH,LA,9622,9387
RICHLAND PARISH,LA,20981,20629
SABINE PARISH,LA,23459,22646
ST. BERNARD PARISH,LA,67229,66631
ST. CHARLES PARISH,LA,48072,42437
ST. HELENA PARISH,LA,10525,9874
ST. JAMES PARISH,LA,21216,20879
ST. JOHN THE BAPTIST PARISH,LA,43044,39996
ST. LANDRY PARISH,LA,87700,80331
ST. MARTIN PARISH,LA,48583,43978
ST. MARY PARISH,LA,53500,58086
ST. TAMMANY PARISH,LA,191268,144508
TANGIPAHOA PARISH,LA,100588,85709
TENSAS PARISH,LA,6618,7103
TERREBONNE PARISH,LA,104503,96982
UNION PARISH,LA,22803,20690
VERMILION PARISH,LA,53807,50055
VERNON PARISH,LA,52531,61961
WASHINGTON PARISH,LA,43926,43185
WEBSTER PARISH,LA,41831,41989
WEST BATON ROUGE PARISH,LA,21601,19419
WEST CARROLL PARISH,LA,12314,12093
WEST FELICIANA PARISH,LA,15111,12915
WINN PARISH,LA,16894,16269
ANDROSCOGGIN COUNTY,ME,103793,105259
AROOSTOOK COUNTY,ME,73938,86936
CUMBERLAND COUNTY,ME,265612,243135
FRANKLIN COUNTY,ME,29467,29008
HANCOCK COUNTY,ME,51791,46948
KENNEBEC COUNTY,ME,117114,115904
KNOX COUNTY,ME,39618,36310
LINCOLN COUNTY,ME,33616,30357
OXFORD COUNTY,ME,54755,52602
PENOBSCOT COUNTY,ME,144919,146601
PISCATAQUIS COUNTY,ME,17235,18653
SAGADAHOC COUNTY,ME,35214,33535
SOMERSET COUNTY,ME,50888,49767
WALDO COUNTY,ME,36280,33018
WASHINGTON COUNTY,ME,33941,35308
YORK COUNTY,ME,186742,164587
ALLEGANY COUNTY,MD,74930,74946
ANNE ARUNDEL COUNTY,MD,489656,427239
BALTIMORE COUNTY,MD,754292,692134
CALVERT COUNTY,MD,74563,51372
CAROLINE COUNTY,MD,29772,27035
CARROLL COUNTY,MD,150897,123372
CECIL COUNTY,MD,85951,71347
CHARLES COUNTY,MD,120546,101154
DORCHESTER COUNTY,MD,30674,30236
FREDERICK COUNTY,MD,195277,150208
GARRETT COUNTY,MD,29846,28138
HARFORD COUNTY,MD,218590,182132
HOWARD COUNTY,MD,247842,187328
KENT COUNTY,MD,19197,17842
MONTGOMERY COUNTY,MD,873341,757027
PRINCE GEORGE'S COUNTY,MD,801515,729268
QUEEN ANNE'S COUNTY,MD,40563,33953
ST. MARY'S COUNTY,MD,86211,75974
SOMERSET COUNTY,MD,24747,23440
TALBOT COUNTY,MD,33812,30549
WASHINGTON COUNTY,MD,131923,121393
WICOMICO COUNTY,MD,84644,74339
WORCESTER COUNTY,MD,46543,35028
BALTIMORE CITY,MD,651154,736014
BARNSTABLE COUNTY,MA,222230,186605
BERKSHIRE COUNTY,MA,134953,139352
BRISTOL COUNTY,MA,534678,506325
DUKES COUNTY,MA,14987,11639
ESSEX COUNTY,MA,723419,670080
FRANKLIN COUNTY,MA,71535,70092
HAMPDEN COUNTY,MA,456228,456310
HAMPSHIRE COUNTY,MA,152251,146568
MIDDLESEX COUNTY,MA,1465396,1398468
NANTUCKET COUNTY,MA,9520,6012
NORFOLK COUNTY,MA,650308,616087
PLYMOUTH COUNTY,MA,472822,435276
SUFFOLK COUNTY,MA,689807,663906
WORCESTER COUNTY,MA,750963,709705
ALCONA COUNTY,MI,11719,10145
ALGER COUNTY,MI,9862,8972
ALLEGAN COUNTY,MI,105665,90509
ALPENA COUNTY,MI,31314,30605
ANTRIM COUNTY,MI,23110,18185
ARENAC COUNTY,MI,17269,14931
BARAGA COUNTY,MI,8746,7954
BARRY COUNTY,MI,56755,50057
BAY COUNTY,MI,110157,111723
BENZIE COUNTY,MI,15998,12200
BERRIEN COUNTY,MI,162453,161378
BRANCH COUNTY,MI,45787,41502
CALHOUN COUNTY,MI,137985,135982
CASS COUNTY,MI,51104,49477
CHARLEVOIX COUNTY,MI,26090,21468
CHEBOYGAN COUNTY,MI,26448,21398
CHIPPEWA COUNTY,MI,38543,34604
CLARE COUNTY,MI,31252,24952
CLINTON COUNTY,MI,64753,57883
CRAWFORD COUNTY,MI,14273,12260
DELTA COUNTY,MI,38520,37780
DICKINSON COUNTY,MI,27472,26831
EATON COUNTY,MI,103655,92879
EMMET COUNTY,MI,31437,25040
GENESEE COUNTY,MI,436141,430459
GLADWIN COUNTY,MI,26023,21896
GOGEBIC COUNTY,MI,17370,18052
GRAND TRAVERSE COUNTY,MI,77654,64273
GRATIOT COUNTY,MI,42285,38982
HILLSDALE COUNTY,MI,46527,43431
HOUGHTON COUNTY,MI,36016,35446
HURON COUNTY,MI,36079,34951
INGHAM COUNTY,MI,279320,281912
IONIA COUNTY,MI,61518,57024
IOSCO COUNTY,MI,27339,30209
IRON COUNTY,MI,13138,13175
ISABELLA COUNTY,MI,63351,54624
JACKSON COUNTY,MI,158422,149756
KALAMAZOO COUNTY,MI,238603,223411
KALKASKA COUNTY,MI,16571,13497
KENT COUNTY,MI,574335,500631
KEWEENAW COUNTY,MI,2301,1701
LAKE COUNTY,MI,11333,8583
LAPEER COUNTY,MI,87904,74768
LEELANAU COUNTY,MI,21119,16527
LENAWEE COUNTY,MI,98890,91476
LIVINGSTON COUNTY,MI,156951,115645
LUCE COUNTY,MI,7024,5763
MACKINAC COUNTY,MI,11943,10674
MACOMB COUNTY,MI,788149,717400
MANISTEE COUNTY,MI,24527,21265
MARQUETTE COUNTY,MI,64634,70887
MASON COUNTY,MI,28274,25537
MECOSTA COUNTY,MI,40553,37308
MENOMINEE COUNTY,MI,25326,24920
MIDLAND COUNTY,MI,82874,75651
MISSAUKEE COUNTY,MI,14478,12147
MONROE COUNTY,MI,145945,133600
MONTCALM COUNTY,MI,61266,53059
MONTMORENCY COUNTY,MI,10315,8936
MUSKEGON COUNTY,MI,170200,158983
NEWAYGO COUNTY,MI,47874,38202
OAKLAND COUNTY,MI,1194156,1083592
OCEANA COUNTY,MI,26873,22454
OGEMAW COUNTY,MI,21645,18681
ONTONAGON COUNTY,MI,7818,8854
OSCEOLA COUNTY,MI,23197,20146
OSCODA COUNTY,MI,9418,7842
OTSEGO COUNTY,MI,23301,17957
OTTAWA COUNTY,MI,238314,187768
PRESQUE ISLE COUNTY,MI,14411,13743
ROSCOMMON COUNTY,MI,25469,19776
SAGINAW COUNTY,MI,210039,211946
ST. CLAIR COUNTY,MI,164235,145607
ST. JOSEPH COUNTY,MI,62422,58913
SANILAC COUNTY,MI,44547,39928
SCHOOLCRAFT COUNTY,MI,8903,8302
SHIAWASSEE COUNTY,MI,71687,69770
TUSCOLA COUNTY,MI,58266,55498
VAN BUREN COUNTY,MI,76263,70060
WASHTENAW COUNTY,MI,322895,282937
WAYNE COUNTY,MI,2061162,2111687
WEXFORD COUNTY,MI,30484,26360
AITKIN COUNTY,MN,15301,12425
ANOKA COUNTY,MN,298084,243641
BECKER COUNTY,MN,30000,27881
BELTRAMI COUNTY,MN,39650,34384
BENTON COUNTY,MN,34226,30185
BIG STONE COUNTY,MN,5820,6285
BLUE EARTH COUNTY,MN,55941,54044
BROWN COUNTY,MN,26911,26984
CARLTON COUNTY,MN,31671,29259
CARVER COUNTY,MN,70205,47915
CASS COUNTY,MN,27150,21791
CHIPPEWA COUNTY,MN,13088,13228
CHISAGO COUNTY,MN,41101,30521
CLAY COUNTY,MN,51229,50422
CLEARWATER COUNTY,MN,8423,8309
COOK COUNTY,MN,5168,3868
COTTONWOOD COUNTY,MN,12167,12694
CROW WING COUNTY,MN,55099,44249
DAKOTA COUNTY,MN,355904,275227
DODGE COUNTY,MN,17731,15731
DOUGLAS COUNTY,MN,32821,28674
FARIBAULT COUNTY,MN,16181,16937
FILLMORE COUNTY,MN,21122,20777
FREEBORN COUNTY,MN,32584,33060
GOODHUE COUNTY,MN,44127,40690
GRANT COUNTY,MN,6289,6246
HENNEPIN COUNTY,MN,1116200,1032431
HOUSTON COUNTY,MN,19718,18497
HUBBARD COUNTY,MN,18376,14939
ISANTI COUNTY,MN,31287,25921
