NAME,STATE,2000 POP.,1990 POP.
JOHNSON COUNTY,AR,22781,18221
LAFAYETTE COUNTY,AR,8559,9643
LAWRENCE COUNTY,AR,17774,17457
LEE COUNTY,AR,12580,13053
LINCOLN COUNTY,AR,14492,13690
LITTLE RIVER COUNTY,AR,13628,13966
LOGAN COUNTY,AR,22486,20557
LONOKE COUNTY,AR,52828,39268
MADISON COUNTY,AR,14243,11618
MARION COUNTY,AR,16140,12001
MILLER COUNTY,AR,40443,38467
MISSISSIPPI COUNTY,AR,51979,57525
MONROE COUNTY,AR,10254,11333
MONTGOMERY COUNTY,AR,9245,7841
NEVADA COUNTY,AR,9955,10101
NEWTON COUNTY,AR,8608,7666
OUACHITA COUNTY,AR,28790,30574
PERRY COUNTY,AR,10209,7969
PHILLIPS COUNTY,AR,26445,28838
PIKE COUNTY,AR,11303,10086
POINSETT COUNTY,AR,25614,24664
POLK COUNTY,AR,20229,17347
POPE COUNTY,AR,54469,45883
PRAIRIE COUNTY,AR,9539,9518
PULASKI COUNTY,AR,361474,349660
RANDOLPH COUNTY,AR,18195,16558
ST. FRANCIS COUNTY,AR,29329,28497
SALINE COUNTY,AR,83529,64183
SCOTT COUNTY,AR,10996,10205
SEARCY COUNTY,AR,8261,7841
SEBASTIAN COUNTY,AR,115071,99590
SEVIER COUNTY,AR,15757,13637
SHARP COUNTY,AR,17119,14109
STONE COUNTY,AR,11499,9775
UNION COUNTY,AR,45629,46719
VAN BUREN COUNTY,AR,16192,14008
WASHINGTON COUNTY,AR,157715,113409
WHITE COUNTY,AR,67165,54676
WOODRUFF COUNTY,AR,8741,9520
YELL COUNTY,AR,21139,17759
ALAMEDA COUNTY,CA,1443741,1279182
ALPINE COUNTY,CA,1208,1113
AMADOR COUNTY,CA,35100,30039
BUTTE COUNTY,CA,203171,182120
CALAVERAS COUNTY,CA,40554,31998
COLUSA COUNTY,CA,18804,16275
CONTRA COSTA COUNTY,CA,948816,803732
DEL NORTE COUNTY,CA,27507,23460
EL DORADO COUNTY,CA,156299,125995
FRESNO COUNTY,CA,799407,667490
GLENN COUNTY,CA,26453,24798
HUMBOLDT COUNTY,CA,126518,119118
IMPERIAL COUNTY,CA,142361,109303
INYO COUNTY,CA,17945,18281
KERN COUNTY,CA,661645,543477
KINGS COUNTY,CA,129461,101469
LAKE COUNTY,CA,58309,50631
LASSEN COUNTY,CA,33828,27598
LOS ANGELES COUNTY,CA,9519338,8863164
MADERA COUNTY,CA,123109,88090
MARIN COUNTY,CA,247289,230096
MARIPOSA COUNTY,CA,17130,14302
MENDOCINO COUNTY,CA,86265,80345
MERCED COUNTY,CA,210554,178403
MODOC COUNTY,CA,9449,9678
MONO COUNTY,CA,12853,9956
MONTEREY COUNTY,CA,401762,355660
NAPA COUNTY,CA,124279,110765
NEVADA COUNTY,CA,92033,78510
ORANGE COUNTY,CA,2846289,2410556
PLACER COUNTY,CA,248399,172796
PLUMAS COUNTY,CA,20824,19739
RIVERSIDE COUNTY,CA,1545387,1170413
SACRAMENTO COUNTY,CA,1223499,1041219
SAN BENITO COUNTY,CA,53234,36697
SAN BERNARDINO COUNTY,CA,1709434,1418380
SAN DIEGO COUNTY,CA,2813833,2498016
SAN FRANCISCO COUNTY,CA,776733,723959
SAN JOAQUIN COUNTY,CA,563598,480628
SAN LUIS OBISPO COUNTY,CA,246681,217162
SAN MATEO COUNTY,CA,707161,649623
SANTA BARBARA COUNTY,CA,399347,369608
SANTA CLARA COUNTY,CA,1682585,1497577
SANTA CRUZ COUNTY,CA,255602,229734
SHASTA COUNTY,CA,163256,147036
SIERRA COUNTY,CA,3555,3318
SISKIYOU COUNTY,CA,44301,43531
SOLANO COUNTY,CA,394542,340421
SONOMA COUNTY,CA,458614,388222
STANISLAUS COUNTY,CA,446997,370522
SUTTER COUNTY,CA,78930,64415
TEHAMA COUNTY,CA,56039,49625
TRINITY COUNTY,CA,13022,13063
TULARE COUNTY,CA,368021,311921
TUOLUMNE COUNTY,CA,54501,48456
VENTURA COUNTY,CA,753197,669016
YOLO COUNTY,CA,168660,141092
YUBA COUNTY,CA,60219,58228
ADAMS COUNTY,CO,363857,265038
ALAMOSA COUNTY,CO,14966,13617
ARAPAHOE COUNTY,CO,487967,391511
ARCHULETA COUNTY,CO,9898,5345
BACA COUNTY,CO,4517,4556
BENT COUNTY,CO,5998,5048
BOULDER COUNTY,CO,291288,225339
CHAFFEE COUNTY,CO,16242,12684
CHEYENNE COUNTY,CO,2231,2397
CLEAR CREEK COUNTY,CO,9322,7619
CONEJOS COUNTY,CO,8400,7453
COSTILLA COUNTY,CO,3663,3190
CROWLEY COUNTY,CO,5518,3946
CUSTER COUNTY,CO,3503,1926
DELTA COUNTY,CO,27834,20980
DENVER COUNTY,CO,554636,467610
DOLORES COUNTY,CO,1844,1504
DOUGLAS COUNTY,CO,175766,60391
EAGLE COUNTY,CO,41659,21928
ELBERT COUNTY,CO,19872,9646
EL PASO COUNTY,CO,516929,397014
FREMONT COUNTY,CO,46145,32273
GARFIELD COUNTY,CO,43791,29974
GILPIN COUNTY,CO,4757,3070
GRAND COUNTY,CO,12442,7966
GUNNISON COUNTY,CO,13956,10273
HINSDALE COUNTY,CO,790,467
HUERFANO COUNTY,CO,7862,6009
JACKSON COUNTY,CO,1577,1605
JEFFERSON COUNTY,CO,527056,438430
KIOWA COUNTY,CO,1622,1688
KIT CARSON COUNTY,CO,8011,7140
LAKE COUNTY,CO,7812,6007
LA PLATA COUNTY,CO,43941,32284
LARIMER COUNTY,CO,251494,186136
LAS ANIMAS COUNTY,CO,15207,13765
LINCOLN COUNTY,CO,6087,4529
LOGAN COUNTY,CO,20504,17567
MESA COUNTY,CO,116255,93145
MINERAL COUNTY,CO,831,558
MOFFAT COUNTY,CO,13184,11357
MONTEZUMA COUNTY,CO,23830,18672
MONTROSE COUNTY,CO,33432,24423
MORGAN COUNTY,CO,27171,21939
OTERO COUNTY,CO,20311,20185
OURAY COUNTY,CO,3742,2295
PARK COUNTY,CO,14523,7174
PHILLIPS COUNTY,CO,4480,4189
PITKIN COUNTY,CO,14872,12661
PROWERS COUNTY,CO,14483,13347
PUEBLO COUNTY,CO,141472,123051
RIO BLANCO COUNTY,CO,5986,5972
RIO GRANDE COUNTY,CO,12413,10770
ROUTT COUNTY,CO,19690,14088
SAGUACHE COUNTY,CO,5917,4619
SAN JUAN COUNTY,CO,558,745
SAN MIGUEL COUNTY,CO,6594,3653
SEDGWICK COUNTY,CO,2747,2690
SUMMIT COUNTY,CO,23548,12881
TELLER COUNTY,CO,20555,12468
WASHINGTON COUNTY,CO,4926,4812
WELD COUNTY,CO,180936,131821
YUMA COUNTY,CO,9841,8954
FAIRFIELD COUNTY,CT,882567,827645
HARTFORD COUNTY,CT,857183,851783
LITCHFIELD COUNTY,CT,182193,174092
MIDDLESEX COUNTY,CT,155071,143196
NEW HAVEN COUNTY,CT,824008,804219
NEW LONDON COUNTY,CT,259088,254957
TOLLAND COUNTY,CT,136364,128699
WINDHAM COUNTY,CT,109091,102525
KENT COUNTY,DE,126697,110993
NEW CASTLE COUNTY,DE,500265,441946
SUSSEX COUNTY,DE,156638,113229
DISTRICT OF COLUMBIA,DC,572059,606900
ALACHUA COUNTY,FL,217955,181596
BAKER COUNTY,FL,22259,18486
BAY COUNTY,FL,148217,126994
BRADFORD COUNTY,FL,26088,22515
BREVARD COUNTY,FL,476230,398978
BROWARD COUNTY,FL,1623018,1255488
CALHOUN COUNTY,FL,13017,11011
CHARLOTTE COUNTY,FL,141627,110975
CITRUS COUNTY,FL,118085,93515
CLAY COUNTY,FL,140814,105986
COLLIER COUNTY,FL,251377,152099
COLUMBIA COUNTY,FL,56513,42613
DESOTO COUNTY,FL,32209,23865
DIXIE COUNTY,FL,13827,10585
DUVAL COUNTY,FL,778879,672971
ESCAMBIA COUNTY,FL,294410,262798
FLAGLER COUNTY,FL,49832,28701
FRANKLIN COUNTY,FL,11057,8967
GADSDEN COUNTY,FL,45087,41105
GILCHRIST COUNTY,FL,14437,9667
GLADES COUNTY,FL,10576,7591
