STATE,COUNTY,1990 INCOME
VT,Grand Isle County,62959
VT,Lamoille County,56318
VT,Orange County,57738
VT,Orleans County,47027
VT,Rutland County,58202
VT,Washington County,61076
VT,Windham County,57250
VT,Windsor County,60324
VA,Accomack County,42124
VA,Albemarle County,76051
VA,Alleghany County,54608
VA,Amelia County,54868
VA,Amherst County,57258
VA,Appomattox County,52806
VA,Arlington County,91956
VA,Augusta County,60769
VA,Bath County,49901
VA,Bedford County,63322
VA,Bland County,48631
VA,Botetourt County,68202
VA,Brunswick County,40048
VA,Buchanan County,40928
VA,Buckingham County,46722
VA,Campbell County,56105
VA,Caroline County,59656
VA,Carroll County,44460
VA,Charles City County,60913
VA,Charlotte County,42227
VA,Chesterfield County,89902
VA,Clarke County,71412
VA,Craig County,51763
VA,Culpeper County,69117
VA,Cumberland County,45596
VA,Dickenson County,33590
VA,Dinwiddie County,60592
VA,Essex County,53759
VA,Fairfax County,122231
VA,Fauquier County,93238
VA,Floyd County,47355
VA,Fluvanna County,64695
VA,Franklin County,54342
VA,Frederick County,67639
VA,Giles County,49740
VA,Gloucester County,65134
VA,Goochland County,74717
VA,Grayson County,39842
VA,Greene County,61439
VA,Greensville County,45598
VA,Halifax County,45969
VA,Hanover County,83880
VA,Henrico County,73408
VA,Henry County,53264
VA,Highland County,43097
VA,Isle of Wight County,60138
VA,James City County,82028
VA,King and Queen County,53101
VA,King George County,73309
VA,King William County,69433
VA,Lancaster County,56235
VA,Lee County,30139
VA,Loudoun County,107345
VA,Louisa County,53955
VA,Lunenburg County,40120
VA,Madison County,54971
VA,Mathews County,56551
VA,Mecklenburg County,43093
VA,Middlesex County,51889
VA,Montgomery County,47316
VA,Nelson County,48874
VA,New Kent County,79179
VA,Northampton County,37353
VA,Northumberland County,47555
VA,Nottoway County,44893
VA,Orange County,65528
VA,Page County,51485
VA,Patrick County,45951
VA,Pittsylvania County,52751
VA,Powhatan County,77098
VA,Prince Edward County,44112
VA,Prince George County,71802
VA,Prince William County,101791
VA,Pulaski County,48079
VA,Rappahannock County,66754
VA,Richmond County,50685
VA,Roanoke County,76051
VA,Rockbridge County,51452
VA,Rockingham County,61105
VA,Russell County,36809
VA,Scott County,37825
VA,Shenandoah County,54693
VA,Smyth County,43116
VA,Southampton County,54382
VA,Spotsylvania County,85238
VA,Stafford County,92082
VA,Surry County,51600
VA,Sussex County,42953
VA,Tazewell County,40555
VA,Warren County,64043
VA,Washington County,45728
VA,Westmoreland County,50831
VA,Wise County,40398
VA,Wythe County,43223
VA,York County,83220
VA,Alexandria city,85506
VA,Bedford city,46982
VA,Bristol city,39640
VA,Buena Vista city,49336
VA,Charlottesville city,49874
VA,Chesapeake city,73682
VA,Clifton Forge city,42594
VA,Colonial Heights city,71074
VA,Covington city,43118
VA,Danville city,42087
VA,Emporia city,43316
VA,Fairfax city,104972
VA,Falls Church city,105174
VA,Franklin city,41972
VA,Fredericksburg city,54872
VA,Galax city,41778
VA,Hampton city,62150
VA,Harrisonburg city,52188
VA,Hopewell city,55532
VA,Lexington city,44042
VA,Lynchburg city,48918
VA,Manassas city,96232
VA,Manassas Park city,80566
VA,Martinsville city,46279
VA,Newport News city,56635
VA,Norfolk city,48582
VA,Norton city,31875
VA,Petersburg city,43934
VA,Poquoson city,89143
VA,Portsmouth city,50722
VA,Radford city,40178
VA,Richmond city,48557
VA,Roanoke city,46578
VA,Salem city,59889
VA,South Boston city,42062
VA,Staunton city,52299
VA,Suffolk city,53864
VA,Virginia Beach city,74783
VA,Waynesboro city,54984
VA,Williamsburg city,52355
VA,Winchester city,53784
WA,Adams County,50728
WA,Asotin County,47209
WA,Benton County,67200
WA,Chelan County,50126
WA,Clallam County,52439
WA,Clark County,65565
WA,Columbia County,46221
WA,Cowlitz County,57454
WA,Douglas County,55779
WA,Ferry County,51895
WA,Franklin County,50728
WA,Garfield County,51866
WA,Grant County,46126
WA,Grays Harbor County,47507
WA,Island County,60124
WA,Jefferson County,51951
WA,King County,74593
WA,Kitsap County,66066
WA,Kittitas County,42244
WA,Klickitat County,47446
WA,Lewis County,50328
WA,Lincoln County,50755
WA,Mason County,54233
WA,Okanogan County,41860
WA,Pacific County,41295
WA,Pend Oreille County,42901
WA,Pierce County,62703
WA,San Juan County,64488
WA,Skagit County,58532
WA,Skamania County,59334
WA,Snohomish County,75971
WA,Spokane County,53130
WA,Stevens County,50390
WA,Thurston County,63866
WA,Wahkiakum County,55604
WA,Walla Walla County,50336
WA,Whatcom County,58487
WA,Whitman County,44687
WA,Yakima County,48683
WV,Barbour County,32178
WV,Berkeley County,56518
WV,Boone County,35201
WV,Braxton County,33728
WV,Brooke County,54637
WV,Cabell County,43823
WV,Calhoun County,29887
WV,Clay County,26504
WV,Doddridge County,35378
WV,Fayette County,34584
WV,Gilmer County,29976
WV,Grant County,43139
WV,Greenbrier County,40021
WV,Hampshire County,42788
WV,Hancock County,53670
WV,Hardy County,42772
WV,Harrison County,41992
WV,Jackson County,44648
WV,Jefferson County,63794
WV,Kanawha County,49481
WV,Lewis County,37054
WV,Lincoln County,30223
WV,Logan County,36992
WV,McDowell County,27094
WV,Marion County,42031
WV,Marshall County,46776
WV,Mason County,41514
WV,Mercer County,39926
WV,Mineral County,45433
WV,Mingo County,33124
WV,Monongalia County,45736
WV,Monroe County,37559
WV,Morgan County,50250
WV,Nicholas County,37351
WV,Ohio County,46367
WV,Pendleton County,40339
WV,Pleasants County,43112
WV,Pocahontas County,35539
WV,Preston County,41112
WV,Putnam County,56503
WV,Raleigh County,40341
WV,Randolph County,37685
WV,Ritchie County,35737
WV,Roane County,31700
WV,Summers County,33931
WV,Taylor County,37036
WV,Tucker County,37007
WV,Tyler County,41978
WV,Upshur County,38636
WV,Wayne County,40592
WV,Webster County,27568
WV,Wetzel County,44421
WV,Wirt County,34949
WV,Wood County,51876
WV,Wyoming County,35561
WI,Adams County,44427
WI,Ashland County,39198
WI,Barron County,46534
WI,Bayfield County,42609
WI,Brown County,64540
WI,Buffalo County,48602
WI,Burnett County,41551
WI,Calumet County,70204
WI,Chippewa County,53314
WI,Clark County,45724
WI,Columbia County,58472
WI,Crawford County,44196
WI,Dane County,67427
WI,Dodge County,60134
WI,Door County,54140
WI,Douglas County,45611
WI,Dunn County,50415
WI,Eau Claire County,53371
WI,Florence County,46217
WI,Fond du Lac County,60701
WI,Forest County,34858
WI,Grant County,50524
WI,Green County,58627
WI,Green Lake County,53004
WI,Iowa County,53429
WI,Iron County,36157
WI,Jackson County,44141
WI,Jefferson County,63398
WI,Juneau County,45510
WI,Kenosha County,63169
WI,Kewaunee County,55518
WI,La Crosse County,55373
WI,Lafayette County,50470
WI,Langlade County,42685
WI,Lincoln County,51905
WI,Manitowoc County,56631
WI,Marathon County,62148
WI,Marinette County,46176
WI,Marquette County,45842
WI,Menominee County,29116
WI,Milwaukee County,57456
WI,Monroe County,51130
WI,Oconto County,47270
WI,Oneida County,49279
WI,Outagamie County,69626
WI,Ozaukee County,88028
WI,Pepin County,47404
WI,Pierce County,62926
WI,Polk County,50033
WI,Portage County,59144
WI,Price County,46724
WI,Racine County,67526
WI,Richland County,45248
WI,Rock County,63157
WI,Rusk County,40446
WI,St. Croix County,75701
WI,Sauk County,54054
WI,Sawyer County,37306
WI,Shawano County,49155
WI,Sheboygan County,65159
WI,Taylor County,50109
WI,Trempealeau County,49202
WI,Vernon County,44427
WI,Vilas County,41961
WI,Walworth County,62565
WI,Washburn County,41157
WI,Washington County,79237
WI,Waukesha County,91884
WI,Waupaca County,53777
WI,Waushara County,45128
WI,Winnebago County,61868
WI,Wood County,61307
WY,Albany County,42710
WY,Big Horn County,44233
WY,Campbell County,76399
WY,Carbon County,55893
WY,Converse County,57138
WY,Crook County,48328
WY,Fremont County,45895
WY,Goshen County,44844
WY,Hot Springs County,50514
WY,Johnson County,45683
WY,Laramie County,56845
WY,Lincoln County,58736
WY,Natrona County,56876
WY,Niobrara County,43188
WY,Park County,53487
WY,Platte County,44992
WY,Sheridan County,51074
WY,Sublette County,55307
WY,Sweetwater County,74657
WY,Teton County,65124
WY,Uinta County,68573
WY,Washakie County,51899
WY,Weston County,54045
