STATE,NAMEPLC,PERPU,PERPOV,PERRATE,PERRANK
VA,VIRGINIA BEACH CITY,380369,22307,6.,180.
WA,SEATTLE CITY,498333,61681,12.,128.0
WA,SPOKANE CITY,172209,29863,17.,75.0
WA,TACOMA CITY,170496,28632,17.,84.0
WI,MADISON CITY,178394,28640,16.,90.0
WI,MILWAUKEE CITY,610060,135583,22.,34.0
OH,DAYTON CITY,175189,46480,27.,10.0
CA,EAST LOS ANGELES CDP,121549,29355,24.,20.0
CA,EL MONTE CITY,104172,23446,23.,31.0
WI,MILWAUKEE CITY.,610060,135583,22.,34.0
IL,PEORIA-CITY,108733,20516,19.,57.0
TN,NASHVILLE-DAVIDSON (REMAINDER),467232,62497,13.,116.0
NV,PARADISE COP,123461,12558,10.,149.0
LA,METAIRIE COP,148930,13424,9.0,160.
TX,PLANO CITY,128084,4279,3.,189.0
